o_city,d_city,transport_type,Average Price,Average Duration,Distance,Category
57,453,carpooling,6900.0,580.0,754.75,2
57,453,train,13864.1,377.74,754.75,2
57,485,bus,2172.5,3223.75,201.45,2
57,485,carpooling,1723.81,164.29,201.45,2
57,504,bus,1439.38,642.5,85.99,1
57,504,carpooling,762.05,82.41,85.99,1
57,504,train,2244.29,334.86,85.99,1
57,539,bus,1310.0,646.5,58.92,1
57,539,carpooling,500.0,75.0,58.92,1
57,539,train,1733.33,320.33,58.92,1
57,542,bus,2400.0,325.0,80.96,1
57,542,carpooling,693.75,86.25,80.96,1
57,628,bus,4123.33,1688.33,575.79,2
57,628,carpooling,5367.05,510.23,575.79,2
57,628,train,9788.75,456.21,575.79,2
57,732,bus,1892.5,471.25,168.68,1
57,732,carpooling,1716.67,211.67,168.68,1
57,732,train,4571.33,337.73,168.68,1
57,840,bus,3408.33,1165.0,260.18,2
57,1061,bus,4587.37,1151.32,766.12,2
57,1061,carpooling,6050.0,525.0,766.12,2
57,1061,train,13620.83,686.83,766.12,2
57,2181,carpooling,5383.33,456.67,564.02,2
57,2621,bus,8700.0,895.0,660.7,2
59,546,bus,2540.0,1585.0,183.32,1
76,100,carpooling,7600.0,750.0,747.53,2
76,277,bus,5263.33,1411.67,1092.84,3
76,277,carpooling,9350.0,840.0,1092.84,3
76,504,bus,3299.0,508.0,337.87,2
76,504,carpooling,3475.0,332.5,337.87,2
76,639,bus,4490.0,740.0,157.43,1
76,639,carpooling,1330.0,150.0,157.43,1
76,7523,carpooling,6475.0,660.0,771.23,2
85,628,bus,2690.0,955.0,664.15,2
85,628,carpooling,5300.0,473.33,664.15,2
85,628,train,10807.0,617.53,664.15,2
85,635,carpooling,796.15,78.85,91.99,1
85,635,train,3126.67,395.0,91.99,1
85,685,bus,3600.0,1605.0,540.17,2
85,685,train,15022.5,826.33,540.17,2
89,1,bus,3190.0,775.0,353.24,2
89,485,bus,2345.0,762.5,259.63,2
89,485,carpooling,2570.0,220.0,259.63,2
89,809,bus,1600.0,370.0,123.16,1
89,809,carpooling,940.0,144.0,123.16,1
89,845,carpooling,6150.0,550.0,614.14,2
89,5121,bus,1895.0,795.0,94.11,1
94,628,carpooling,1683.33,180.0,182.56,1
95,874,carpooling,5900.0,670.0,701.47,2
99,23,bus,3892.0,683.6,580.46,2
99,23,carpooling,3900.0,453.33,580.46,2
99,485,bus,6190.0,1200.0,974.8,3
99,628,bus,6114.29,1412.86,877.98,3
100,23,carpooling,7200.0,640.0,633.39,2
102,23,bus,3896.67,995.0,579.1,2
102,57,bus,2763.33,1108.33,377.43,2
102,173,bus,3607.35,1168.68,417.58,2
102,227,carpooling,650.0,70.0,75.76,1
102,424,bus,5687.5,1519.38,559.8,2
102,424,carpooling,4150.0,690.0,559.8,2
102,424,train,12542.86,1059.14,559.8,2
102,485,bus,1400.0,425.0,187.42,1
102,485,carpooling,1956.52,159.57,187.42,1
102,580,bus,3424.17,1150.83,407.9,2
102,580,carpooling,5533.33,423.33,407.9,2
102,580,train,12895.0,670.75,407.9,2
102,809,bus,1740.0,743.64,196.75,1
102,809,carpooling,1807.14,182.86,196.75,1
102,809,train,5100.0,1247.0,196.75,1
102,843,bus,2856.67,715.0,457.07,2
102,843,carpooling,4825.0,435.0,457.07,2
102,843,train,8820.0,788.67,457.07,2
102,1088,bus,2430.0,805.0,114.84,1
102,1088,carpooling,1550.0,172.0,114.84,1
102,1088,train,5140.0,337.0,114.84,1
105,46,bus,2063.33,761.67,27.38,1
105,46,carpooling,300.0,40.0,27.38,1
105,446,bus,2490.0,843.33,74.81,1
107,542,carpooling,587.5,71.25,63.85,1
107,714,bus,4490.0,1415.0,698.11,2
107,714,carpooling,5700.0,470.0,698.11,2
107,714,train,10143.75,520.12,698.11,2
107,809,bus,4300.0,1515.0,679.52,2
107,809,carpooling,6150.0,540.0,679.52,2
107,845,bus,1400.0,975.0,145.79,1
107,845,carpooling,1350.0,120.0,145.79,1
107,876,bus,3885.0,1640.0,669.06,2
109,126,bus,2256.67,458.33,169.46,1
109,126,carpooling,1406.25,131.25,169.46,1
109,485,bus,3260.0,940.48,565.82,2
109,485,carpooling,5650.0,470.0,565.82,2
109,485,train,14487.14,492.43,565.82,2
109,628,bus,2405.0,789.17,668.01,2
109,628,carpooling,5675.0,485.0,668.01,2
109,777,carpooling,4300.0,370.0,424.59,2
109,777,train,8203.33,987.17,424.59,2
109,3738,carpooling,500.0,63.33,38.54,1
112,336,bus,1472.5,343.75,195.57,1
112,336,carpooling,1400.0,180.0,195.57,1
126,11,carpooling,4275.0,420.0,501.47,2
126,85,carpooling,1331.0,125.5,165.49,1
126,85,train,3595.0,747.0,165.49,1
126,102,bus,3190.0,1085.0,574.94,2
126,102,carpooling,5800.0,560.0,574.94,2
126,152,bus,1900.0,1590.0,165.41,1
126,152,carpooling,1550.0,150.0,165.41,1
126,152,train,2446.67,222.67,165.41,1
126,168,bus,3592.73,862.95,483.21,2
126,168,carpooling,4787.04,402.96,483.21,2
126,168,train,6682.5,457.88,483.21,2
126,184,bus,3218.18,789.55,594.02,2
126,213,carpooling,1125.0,130.0,129.46,1
126,213,train,2750.0,300.5,129.46,1
126,227,bus,4115.0,857.25,513.0,2
126,227,carpooling,4650.0,440.0,513.0,2
126,227,train,9899.09,1044.91,513.0,2
126,317,bus,5390.0,1060.0,496.57,2
126,317,carpooling,5233.33,426.67,496.57,2
126,317,train,11038.57,608.14,496.57,2
126,348,bus,4195.0,685.0,191.05,1
126,348,carpooling,1800.0,180.0,191.05,1
126,434,bus,3655.45,784.18,520.81,2
126,434,carpooling,5183.33,430.0,520.81,2
126,434,train,10640.62,372.5,520.81,2
126,453,bus,3615.73,1767.25,700.64,2
126,453,carpooling,5800.0,490.0,700.64,2
126,467,bus,7900.0,1560.0,742.82,2
126,467,train,27737.5,491.94,742.82,2
126,485,bus,3445.0,915.83,435.48,2
126,485,carpooling,4235.47,371.74,435.48,2
126,485,train,8222.22,979.94,435.48,2
126,530,bus,2814.0,1071.0,300.99,2
126,530,carpooling,3475.0,300.0,300.99,2
126,530,train,7062.5,719.5,300.99,2
126,539,carpooling,5250.0,380.0,423.84,2
126,541,carpooling,2600.0,305.71,298.11,2
126,542,bus,3338.0,691.1,383.12,2
126,542,carpooling,3570.0,325.5,383.12,2
126,542,train,6451.11,864.67,383.12,2
126,562,bus,2630.0,688.2,278.32,2
126,562,carpooling,2554.14,224.28,278.32,2
126,562,train,3922.22,517.44,278.32,2
126,585,bus,4280.0,1285.33,407.69,2
126,585,carpooling,4100.0,356.67,407.69,2
126,585,train,6741.67,716.0,407.69,2
126,587,bus,1842.5,1062.5,164.02,1
126,587,carpooling,1417.65,131.76,164.02,1
126,587,train,2945.0,696.0,164.02,1
126,628,bus,2392.63,1191.84,498.67,2
126,628,carpooling,4389.07,389.98,498.67,2
126,628,train,4446.26,405.41,498.67,2
126,638,carpooling,1018.92,103.78,105.82,1
126,657,bus,1990.0,737.5,206.91,2
126,657,carpooling,1800.0,205.0,206.91,2
126,697,bus,2239.23,446.15,370.94,2
126,697,carpooling,3362.16,298.92,370.94,2
126,697,train,5100.0,431.67,370.94,2
126,714,carpooling,5150.0,420.0,527.94,2
126,714,train,8681.43,773.86,527.94,2
126,737,bus,2745.0,1017.5,438.52,2
126,737,carpooling,4175.0,335.0,438.52,2
126,737,train,11195.0,708.0,438.52,2
126,845,bus,1956.0,874.0,210.88,2
126,845,carpooling,1799.05,161.61,210.88,2
126,845,train,4906.67,192.67,210.88,2
126,872,bus,3067.5,763.75,430.73,2
126,872,carpooling,4400.0,450.0,430.73,2
126,872,train,9160.0,843.27,430.73,2
126,1061,bus,5372.31,870.0,760.81,2
126,1061,carpooling,6333.33,553.33,760.81,2
126,1061,train,17704.35,436.78,760.81,2
126,1088,bus,6690.0,1405.0,545.27,2
126,2087,bus,9966.67,1446.67,762.12,2
126,2181,bus,4200.0,600.0,490.1,2
126,2181,carpooling,4432.84,370.15,490.1,2
126,2621,bus,8397.5,1090.0,593.92,2
126,2621,carpooling,5900.0,500.0,593.92,2
126,5517,carpooling,1470.0,140.0,147.85,1
126,5517,train,3070.0,472.0,147.85,1
126,5527,bus,4400.0,2285.0,628.45,2
126,5527,carpooling,5637.5,500.0,628.45,2
126,6031,carpooling,2400.0,260.0,263.53,2
126,6031,train,3945.0,354.5,263.53,2
126,6135,carpooling,4650.0,450.0,556.63,2
126,6135,train,10570.0,600.6,556.63,2
126,7330,bus,3063.33,1100.0,207.69,2
126,7603,carpooling,4535.0,392.5,484.55,2
126,7603,train,7782.61,559.22,484.55,2
126,7779,train,2074.44,421.44,84.06,1
126,8250,carpooling,4100.0,422.5,461.55,2
126,8317,carpooling,2433.33,263.33,254.86,2
126,8317,train,4995.0,339.5,254.86,2
126,12190,bus,5022.5,757.5,420.43,2
132,46,bus,2505.0,1123.33,95.44,1
132,46,carpooling,850.0,90.0,95.44,1
132,46,train,3233.33,212.92,95.44,1
132,1038,train,9553.33,584.67,663.43,2
134,23,bus,3554.0,947.5,615.6,2
134,192,bus,2516.0,815.0,61.12,1
134,192,train,1804.29,206.43,61.12,1
134,227,bus,3231.43,707.14,200.43,2
134,227,carpooling,1875.0,250.0,200.43,2
134,227,train,4901.82,337.27,200.43,2
134,467,bus,6125.08,902.29,525.1,2
134,467,train,20732.08,486.53,525.1,2
134,485,bus,2293.12,571.25,237.33,2
134,485,carpooling,2573.08,236.15,237.33,2
134,485,train,5057.0,971.1,237.33,2
134,628,bus,2606.67,923.17,196.48,1
134,628,carpooling,1858.33,176.67,196.48,1
134,628,train,3945.5,266.75,196.48,1
143,628,bus,4780.0,1005.0,651.73,2
147,188,carpooling,5350.0,470.0,572.35,2
147,845,bus,2880.0,1890.0,390.16,2
147,845,carpooling,4300.0,420.0,390.16,2
148,23,bus,8030.0,1527.0,793.65,2
148,451,bus,4872.5,1027.5,765.99,2
148,451,carpooling,6150.0,540.0,765.99,2
148,451,train,12350.0,499.25,765.99,2
148,876,bus,1300.0,340.0,152.47,1
148,876,carpooling,1294.0,146.4,152.47,1
148,876,train,4831.82,246.73,152.47,1
148,1088,bus,8280.0,1162.5,836.57,3
148,2181,carpooling,4050.0,350.0,506.6,2
152,33,bus,2350.0,505.0,371.51,2
152,54,bus,2350.0,680.0,335.81,2
152,109,bus,3413.33,755.0,304.48,2
152,109,train,6070.0,901.5,304.48,2
152,197,bus,4185.71,1232.14,280.29,2
152,200,carpooling,1300.0,120.0,142.81,1
152,485,bus,2253.33,440.0,270.39,2
152,485,carpooling,2843.75,270.0,270.39,2
152,504,bus,2798.57,909.29,371.73,2
152,504,train,7056.0,1089.2,371.73,2
152,542,bus,2320.0,756.25,258.53,2
152,542,train,5842.22,1119.89,258.53,2
152,562,bus,1800.0,1650.0,328.77,2
152,562,carpooling,2812.5,337.5,328.77,2
152,611,bus,2048.33,530.83,308.73,2
152,611,carpooling,2400.0,290.0,308.73,2
152,628,bus,2025.0,628.12,416.87,2
152,628,carpooling,3552.94,315.29,416.87,2
152,628,train,5264.0,325.2,416.87,2
152,845,bus,2935.0,747.5,170.43,1
152,845,carpooling,1507.14,147.14,170.43,1
152,1088,bus,3596.25,601.88,381.09,2
152,1918,bus,10523.33,4470.0,1128.8,3
155,485,bus,8980.0,1956.0,962.05,3
162,628,bus,16395.0,2850.0,1870.17,3
168,76,bus,8321.11,2167.22,888.39,3
168,126,bus,3090.0,845.0,483.21,2
168,126,carpooling,5250.0,420.0,483.21,2
168,200,bus,3746.36,980.0,458.0,2
168,200,carpooling,4950.0,410.0,458.0,2
168,200,train,8719.09,891.09,458.0,2
168,453,bus,3560.0,481.67,294.19,2
168,453,carpooling,2743.75,238.75,294.19,2
168,467,bus,4772.0,924.0,259.65,2
168,485,bus,3471.43,673.21,543.6,2
168,485,train,10726.67,371.67,543.6,2
168,524,bus,3821.11,688.89,474.97,2
168,524,carpooling,4400.0,360.0,474.97,2
168,524,train,8798.89,443.11,474.97,2
168,628,bus,1810.0,560.0,200.27,2
168,628,carpooling,1776.76,171.13,200.27,2
168,628,train,3480.0,199.2,200.27,2
168,692,bus,5625.0,1807.5,905.61,3
168,737,bus,1400.0,1035.0,135.58,1
168,737,carpooling,1250.0,114.84,135.58,1
168,1061,bus,2200.0,1890.0,381.85,2
168,1061,carpooling,3600.0,323.33,381.85,2
168,1061,train,9216.92,315.92,381.85,2
168,5466,carpooling,691.67,88.33,88.76,1
168,5466,train,1731.67,612.67,88.76,1
171,504,bus,4650.0,1080.0,891.91,3
171,504,train,13200.0,367.5,891.91,3
171,628,carpooling,2225.0,193.33,236.96,2
171,628,train,3869.12,378.06,236.96,2
171,2023,bus,4236.5,937.5,395.57,2
173,11,carpooling,1203.33,113.33,126.44,1
173,11,train,3338.67,323.5,126.44,1
173,317,bus,2721.43,737.14,209.29,2
173,317,carpooling,3683.33,313.33,209.29,2
173,317,train,6260.0,615.0,209.29,2
173,453,bus,10090.0,1347.5,842.67,3
173,453,carpooling,8500.0,686.67,842.67,3
173,504,carpooling,1375.0,141.79,135.62,1
173,504,train,3034.62,310.85,135.62,1
173,542,bus,2358.33,734.17,249.39,2
173,542,carpooling,2324.0,212.4,249.39,2
173,542,train,5428.42,823.05,249.39,2
173,585,bus,1685.0,812.5,215.73,2
173,611,bus,3600.0,1140.0,625.94,2
173,628,bus,4906.15,1188.65,689.68,2
173,628,carpooling,6880.77,580.0,689.68,2
173,628,train,8441.76,466.0,689.68,2
173,809,bus,4821.67,1446.67,561.9,2
173,809,carpooling,5900.0,550.0,561.9,2
173,809,train,16800.0,1143.17,561.9,2
184,628,bus,2365.0,981.25,146.38,1
184,628,carpooling,2009.38,205.62,146.38,1
184,694,bus,5000.0,200.0,35.63,1
185,33,bus,1665.0,671.5,139.13,1
185,33,carpooling,1800.0,170.0,139.13,1
185,33,train,2947.0,399.4,139.13,1
185,451,bus,3145.0,2340.0,431.45,2
185,451,carpooling,3700.0,310.0,431.45,2
185,451,train,13800.0,664.0,431.45,2
185,485,bus,1797.5,763.75,113.27,1
185,485,carpooling,980.77,107.69,113.27,1
185,485,train,2408.95,187.37,113.27,1
185,628,bus,2976.36,656.91,295.59,2
185,628,carpooling,2508.33,210.83,295.59,2
185,628,train,4000.0,455.0,295.59,2
185,639,bus,3690.0,968.18,479.81,2
185,843,bus,2400.0,898.33,415.27,2
185,1061,bus,3000.0,746.25,452.15,2
185,5866,bus,2000.0,345.0,70.67,1
185,5866,carpooling,550.0,90.0,70.67,1
185,10480,carpooling,3250.0,315.0,372.72,2
186,107,train,6615.0,357.25,327.95,2
186,200,bus,2251.43,351.07,221.47,2
186,200,train,4966.0,294.0,221.47,2
186,424,bus,6453.33,1503.33,550.69,2
186,424,carpooling,5800.0,560.0,550.69,2
186,424,train,15726.25,1128.25,550.69,2
186,628,bus,2866.92,603.46,453.1,2
186,628,carpooling,4405.56,396.67,453.1,2
186,628,train,7757.73,270.86,453.1,2
186,845,bus,3343.57,892.86,415.1,2
186,845,carpooling,4566.67,380.0,415.1,2
186,845,train,7580.0,865.8,415.1,2
189,504,bus,5045.0,1377.5,721.27,2
189,504,train,13406.0,1062.0,721.27,2
191,562,bus,5990.0,495.0,260.66,2
191,562,carpooling,2200.0,246.67,260.66,2
191,562,train,5018.57,206.0,260.66,2
191,5611,train,9787.5,561.92,398.84,2
192,485,bus,3430.0,1406.67,267.6,2
192,485,carpooling,2637.5,257.5,267.6,2
192,504,bus,3800.0,1482.5,485.44,2
192,504,carpooling,4950.0,505.0,485.44,2
192,504,train,8100.0,1423.0,485.44,2
192,628,bus,3482.0,573.5,231.82,2
192,628,carpooling,2071.74,191.74,231.82,2
192,628,train,4557.5,255.17,231.82,2
192,714,bus,2476.0,583.0,296.19,2
192,714,carpooling,2500.0,340.0,296.19,2
192,714,train,5183.33,366.0,296.19,2
193,628,bus,3380.0,1370.0,261.85,2
193,628,carpooling,2450.0,240.0,261.85,2
197,542,bus,4001.67,1665.0,536.85,2
197,542,carpooling,6375.0,490.0,536.85,2
200,11,bus,3355.0,784.75,312.06,2
200,11,carpooling,3505.56,315.56,312.06,2
200,11,train,7052.12,573.42,312.06,2
200,126,carpooling,2818.99,247.59,304.31,2
200,126,train,6980.0,605.5,304.31,2
200,152,bus,3202.5,985.0,142.81,1
200,152,carpooling,1479.63,131.48,142.81,1
200,186,bus,2545.45,350.91,221.47,2
200,186,carpooling,1900.0,230.0,221.47,2
200,186,train,5333.75,259.0,221.47,2
200,227,bus,1587.5,438.75,227.95,2
200,227,carpooling,2500.0,230.0,227.95,2
200,227,train,4990.0,272.0,227.95,2
200,336,bus,6316.67,1206.67,996.89,3
200,424,bus,3832.22,915.56,329.57,2
200,424,carpooling,5100.0,495.0,329.57,2
200,424,train,11618.89,716.67,329.57,2
200,485,carpooling,1222.92,125.34,136.0,1
200,504,bus,2467.0,591.0,329.47,2
200,504,carpooling,3536.11,319.51,329.47,2
200,504,train,5825.1,451.37,329.47,2
200,542,carpooling,2491.67,240.0,249.78,2
200,548,bus,2686.67,613.33,90.21,1
200,548,carpooling,709.09,100.0,90.21,1
200,548,train,2091.43,124.57,90.21,1
200,628,bus,1573.18,611.36,346.53,2
200,628,carpooling,3153.33,276.0,346.53,2
200,628,train,5190.43,416.17,346.53,2
200,704,bus,1980.0,295.0,82.3,1
200,704,carpooling,1137.5,97.5,82.3,1
200,714,bus,2689.29,684.29,434.52,2
200,714,carpooling,3800.0,410.0,434.52,2
200,848,bus,3658.0,674.5,255.42,2
200,1094,bus,15563.33,6213.33,1458.86,3
200,1094,carpooling,10050.0,1170.0,1458.86,3
200,2070,bus,3634.0,763.0,524.83,2
200,2070,carpooling,5000.0,440.0,524.83,2
200,6249,carpooling,3666.67,310.0,406.45,2
200,7507,bus,8562.5,1302.5,810.59,3
204,467,bus,4345.0,1403.75,658.32,2
204,714,bus,3863.75,837.5,482.99,2
204,714,carpooling,4792.86,418.57,482.99,2
204,714,train,12413.0,513.48,482.99,2
204,11110,carpooling,600.0,62.0,60.44,1
212,628,bus,3186.0,973.0,470.04,2
212,628,carpooling,3800.0,356.67,470.04,2
213,639,carpooling,3500.0,300.0,338.9,2
213,639,train,22858.0,694.6,338.9,2
213,714,bus,4790.0,835.0,657.15,2
213,714,carpooling,6150.0,540.0,657.15,2
213,727,bus,5390.0,1135.0,551.17,2
213,727,train,14325.71,533.0,551.17,2
214,628,carpooling,1519.7,143.64,174.63,1
227,53,bus,3637.5,1786.25,453.11,2
227,53,train,12300.0,1084.0,453.11,2
227,102,carpooling,725.0,88.33,75.76,1
227,173,bus,2981.43,963.57,447.6,2
227,173,carpooling,4883.33,436.67,447.6,2
227,173,train,12565.0,806.4,447.6,2
227,189,bus,2045.0,1147.5,272.66,2
227,191,bus,2263.33,1130.0,292.46,2
227,191,carpooling,2750.0,360.0,292.46,2
227,191,train,6620.0,287.6,292.46,2
227,200,bus,3003.75,476.88,227.95,2
227,200,carpooling,2343.75,251.25,227.95,2
227,467,bus,6316.15,921.15,595.9,2
227,467,train,25800.0,468.11,595.9,2
227,485,bus,1987.5,781.43,174.09,1
227,485,carpooling,1473.57,130.71,174.09,1
227,485,train,3231.92,489.08,174.09,1
227,560,carpooling,2050.0,150.0,169.27,1
227,560,train,2900.0,150.0,169.27,1
227,580,bus,2942.04,1004.07,440.96,2
227,580,carpooling,4681.48,422.59,440.96,2
227,580,train,11118.3,753.43,440.96,2
227,628,bus,2721.76,675.71,261.12,2
227,628,carpooling,2329.7,205.45,261.12,2
227,628,train,4840.0,214.4,261.12,2
227,638,bus,3075.75,1010.88,411.83,2
227,2181,carpooling,2341.82,201.45,251.56,2
239,126,bus,3445.0,1065.0,673.21,2
239,126,carpooling,5933.33,548.33,673.21,2
239,453,bus,2995.0,812.5,30.51,1
